Sample,Time_interval,amend,mgmt,moisture,field_reps,All,Time.Amend.Mgmt,Amend.Mgmt,Amend.Moist,Mgmt.Moist,Time.Mgmt,Time.Moist,NH4,NO3,nrfA
NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,NTC,.,.,.
t1.Dig.FERT.95.R2,t1,Dig,FERT,95,2,t1.Dig.FERT.95,t1.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t1.FERT,t1.95,357.37,34.86087928,53801.58203
t1.Dig.FERT.95.R3,t1,Dig,FERT,95,3,t1.Dig.FERT.95,t1.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t1.FERT,t1.95,443.78,0.5,16072.19043
t1.Dig.FERT.95.R4,t1,Dig,FERT,95,4,t1.Dig.FERT.95,t1.Dig.FERT,Dig.FERT,Dig.95,FERT.95,t1.FERT,t1.95,347.47,20.88140784,50965.39063
t2.Raw.BM.60.R1,t2,Raw,BM,60,1,t2.Raw.BM.60,t2.Raw.BM,Raw.BM,Raw.60,BM.60,t2.BM,t2.60,119.1347971,123.2090996,29242.32227
t2.Raw.BM.60.R2,t2,Raw,BM,60,2,t2.Raw.BM.60,t2.Raw.BM,Raw.BM,Raw.60,BM.60,t2.BM,t2.60,248.1358313,123.2090996,41446.10938
t2.Raw.BM.60.R3,t2,Raw,BM,60,3,t2.Raw.BM.60,t2.Raw.BM,Raw.BM,Raw.60,BM.60,t2.BM,t2.60,86.1665898,122.5833333,48387.515
t2.Raw.BM.60.R4,t2,Raw,BM,60,4,t2.Raw.BM.60,t2.Raw.BM,Raw.BM,Raw.60,BM.60,t2.BM,t2.60,43.43427929,117.4366667,21547.5957
t2.Raw.BM.95.R1,t2,Raw,BM,95,1,t2.Raw.BM.95,t2.Raw.BM,Raw.BM,Raw.95,BM.95,t2.BM,t2.95,343.9389145,0.5,902815.2031
t2.Raw.BM.95.R2,t2,Raw,BM,95,2,t2.Raw.BM.95,t2.Raw.BM,Raw.BM,Raw.95,BM.95,t2.BM,t2.95,338.999427,0.5,45482.865
t2.Raw.BM.95.R3,t2,Raw,BM,95,3,t2.Raw.BM.95,t2.Raw.BM,Raw.BM,Raw.95,BM.95,t2.BM,t2.95,325.3296825,0.5,46901.93
t2.Raw.BM.95.R4,t2,Raw,BM,95,4,t2.Raw.BM.95,t2.Raw.BM,Raw.BM,Raw.95,BM.95,t2.BM,t2.95,343.0199401,0.5,167383.9599
t2.Raw.FERT.60.R1,t2,Raw,FERT,60,1,t2.Raw.FERT.60,t2.Raw.FERT,Raw.FERT,Raw.60,FERT.60,t2.FERT,t2.60,19.54094438,116.29,49573.41797
t2.Raw.FERT.60.R2,t2,Raw,FERT,60,2,t2.Raw.FERT.60,t2.Raw.FERT,Raw.FERT,Raw.60,FERT.60,t2.FERT,t2.60,138.5481317,163.8587296,239215.9043
t2.Raw.FERT.60.R3,t2,Raw,FERT,60,3,t2.Raw.FERT.60,t2.Raw.FERT,Raw.FERT,Raw.60,FERT.60,t2.FERT,t2.60,75.02402496,116.6633333,28882.9
t2.Raw.FERT.60.R4,t2,Raw,FERT,60,4,t2.Raw.FERT.60,t2.Raw.FERT,Raw.FERT,Raw.60,FERT.60,t2.FERT,t2.60,16.37137613,115.7566667,250243.5762
t2.Raw.FERT.95.R1,t2,Raw,FERT,95,1,t2.Raw.FERT.95,t2.Raw.FERT,Raw.FERT,Raw.95,FERT.95,t2.FERT,t2.95,191.6528303,0.5,215546.5898
